id,UserName,Review,Score,Date,Bank
29,Uouebs,"I cannot open the app at all, even after updates it keeps telling something went wrong.",1,15/11/2023 11:32,GXS Bank
30,2BitBob,"Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?",5,15/11/2023 6:52,GXS Bank
31,Berriesindulge,"Ease of use.
Pay anytime before due is possible. 
Emergency moolahs are here without breaking your bank!",5,15/11/2023 2:39,GXS Bank
32,jimmihua,Can try for saving money !! My money said they liked there,5,11/11/2023 7:18,GXS Bank
33,Don’tdownloadthisappl,Keep creating account to write fake 5 star reviews when your app is so buggy and processing time is so slow. Worst banking app ever!,1,10/11/2023 15:26,GXS Bank
34,rcpsgp,You get the highest saving interest rate on the market,5,10/11/2023 14:32,GXS Bank
35,Eng Kok Ong,Simple and easy,5,10/11/2023 11:37,GXS Bank
36,Dan heath,Good app,4,10/11/2023 6:48,GXS Bank
37,Thirteen Wishes Come True,Loan disbursement was immediate. App is simple to use. Repayments just as easy.,5,2/11/2023 13:47,GXS Bank
38,dominiThree,"useless app.  unable to join or open account,
app is not open to all in sg",1,2/11/2023 6:38,GXS Bank
39,Amero bai,Best and fast loan approval,5,8/10/2023 10:35,GXS Bank
40,elylj,DO NOT USE THIS APP!!!! So frustrating on this app. 3 times I tried to move a small portion of money out of my pocket. 3 times the pocket becomes $0 straight away and I can’t move/transfer my money out!!!!!!!!!!!!!,1,25/9/2023 13:13,GXS Bank
41,derr derrick,Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.,5,25/9/2023 1:04,GXS Bank
42,Elijahdptty,increase so much just to make us open account then now int rate worst than t bills. UI also so dark. not much use case except earn risk free rate. grab is expensive,1,19/9/2023 1:56,GXS Bank
43,stylex7,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???",1,13/9/2023 15:30,GXS Bank
44,gejeoqwo,Already 1 year but basic functions like adding payee is not in the app. It’s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,1,12/9/2023 5:10,GXS Bank
45,Zzzsosian,"Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .

The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However, they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.

I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS.",1,9/9/2023 8:33,GXS Bank
46,KiloBites,"My biggest frustration is that I can’t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payee’s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this “fundamental” feature a payee list, it’s easy to make mistakes entering long account number, name and bank name each time.",1,22/8/2023 10:22,GXS Bank
47,WeeJX,"Income extracted from SingPass is incorrect.
Information in SingPass is correct
Which means the process of extracting information needs to be updated.",2,14/8/2023 4:56,GXS Bank
48,Azubu Frost,"It doesn’t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods.",1,13/8/2023 12:05,GXS Bank
49,Ahfei94,It’s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes,3,11/8/2023 11:02,GXS Bank
50,NethT,"Reduced interest from 3.48 to 2.68% in less than a month, kenna baited to start an account here. Have removed all my funds and closed my account.",1,8/8/2023 6:46,GXS Bank
51,Fancilivain,Lack the basic function to save a payee,1,7/8/2023 13:41,GXS Bank
52,can't playback,first bank to reduce interest rates for savings but interest rates for loans stay high,1,7/8/2023 10:44,GXS Bank
53,flirtyfrog,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.,1,7/8/2023 8:36,GXS Bank
54,Iamvishalg,Gave an application to open account but the bank decided to cancel opening new accounts and the “bank” didnt even bother to inform clients! May be its a gods sign to save my money.,1,27/7/2023 17:29,GXS Bank
55,xinbailu,"Useless, lacks features and does not provide any improvement from traditional banks available in Singapore",1,27/7/2023 5:20,GXS Bank
56,sheerliyn,"Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up, end up asked me to fill up my particular to  receive latest buzz updates.! 

If the bank isn’t planing to offer, please stop advertising that. Thanks!",1,25/7/2023 14:17,GXS Bank
57,Jlydj,Unable to sign in to account,1,24/7/2023 9:21,GXS Bank
58,Apple1234567,"I was trying to make payment using Paynow Qr code using scan and pay. Merchant create a dynamic QR code of payment $15.7 but the GXS app scan and pay read in as $15.07
Pls advice to correct the mistake as it make me and merchant very inconvenience.",1,24/7/2023 3:31,GXS Bank
59,Chenpangdoon,"Pls improve your good service for any person who are really need it,hope the app can improve soon",1,22/7/2023 8:18,GXS Bank
60,WuMing9,"Extremely disappointed after downloading the app, waited and waited for it to open and still told to wait and wait and wait and wait and wait……………..no ends!!!!!:thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down:",1,21/7/2023 23:56,GXS Bank
61,Gagshwhsb,"21 Jul 23:
The integration on iPad is off. The first time login requires SingPass as a safety feature but it doesn’t generate a QR Code. Devs should consider a workaround. 

Pending dev feedback before rating change.",1,20/7/2023 23:27,GXS Bank
62,gniynew,"Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying “It’s not you, it’s us”. 

Ummmm okayyyy",1,19/7/2023 6:05,GXS Bank
63,shien 181.00,Only for PR and SP,1,18/7/2023 3:44,GXS Bank
64,kenny.ng.kn,"Sending money into my GXS account is a breeze and instantaneous - regardless of the amounts. I’m able to immediately see that my funds are in GXS. 

Transferring money OUT is a huge issue. Since June I’ve had problems transferring amounts higher than $500 back to my other banking accounts, each time a red banner will pop up and said something went wrong please try again later. TODAY I can’t transfer more than $1000 back to myself - even the $1000 had to be transferred in TWO transactions of $500 each. Customer service officers did their best to help each time but it’s annoying that the advice provided (killing the app, re-logging in with SingPass) still don’t work.",2,27/6/2023 4:01,GXS Bank
65,SgPlayboy,Try it and you will love it.,5,11/6/2023 0:50,GXS Bank
66,Ta Fan Su,Very convenient and easy to understand and use,5,6/6/2023 2:44,GXS Bank
67,nigelphang,Very friendly app,5,5/6/2023 15:00,GXS Bank
68,Colddogbun,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too.",5,5/6/2023 15:00,GXS Bank
69,jesuafreak,Makes banking easy to use,5,5/6/2023 11:50,GXS Bank
70,Dtthian,Easy to use and log in! Very clean instruction.,5,5/6/2023 11:34,GXS Bank
71,Tyc Tan,"Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!",5,5/6/2023 11:16,GXS Bank
72,代码农夫,Love the app,5,5/6/2023 10:57,GXS Bank
73,Hayley Young,Easy to use with high interest rate,5,5/6/2023 10:26,GXS Bank
74,Reviewer3868329,"Simple, straightforward to use with no bugs. Great experience",5,5/6/2023 10:23,GXS Bank
75,Sam Lu Hao,Great plat form … easy to use and hassle free.,5,5/6/2023 10:21,GXS Bank
76,w00t87,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!",5,5/6/2023 10:16,GXS Bank
77,marfislam,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted.",5,30/5/2023 13:19,GXS Bank
78,Sandintheair,Sent me texts and email to tell me I am selected for flexi loan . But non is approved . Said borrow from $200 and above but can’t even borrow $200 :face_with_tears_of_joy: rejected all of my friend and family members . So who can borrow ? Millionaire ?,1,24/5/2023 13:59,GXS Bank
79,Yann85@,Can’t login after applying?????????,3,4/5/2023 9:39,GXS Bank
80,Andreani369,"App keeps giving me “something went wrong” and “it’s not you, it’s us” notification whenever I attempt to log-in. Totally unusually at this time of writing.",1,2/5/2023 10:56,GXS Bank
81,Mech20101,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)",1,23/4/2023 14:54,GXS Bank
82,AribNasikur,could you add a way to sign in using singpass password instead of only having to use the app?,4,11/2/2023 6:45,GXS Bank
83,Jyotkumar Patel,This should be removed from App Store. A bank that is not even able to accept a customer sign up. What a joke from Grab and  Singtel.,1,24/1/2023 15:24,GXS Bank
84,Shariff666,"What if I urgently need access to my money? This is not the way to go.
:face_with_symbols_on_mouth:",1,24/1/2023 13:43,GXS Bank
85,JosephThia,"Access to funds blocked, no transparency apart from it being a recognized technical issue, no ETA and no communications from Grab or Singtel.",1,20/1/2023 5:03,GXS Bank
86,desiphone,Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.,2,20/1/2023 4:35,GXS Bank
87,@alexfonghere,"Great app, with awesome design and theme unlike traditional banking institutions. Provide high interest rates and suitable for targeted group of audience. Ratings were probably dragged down by reviewers who rated 1/5 because they couldn’t sign up - as GXS bank is rolling out to users by batches.

Overall a good experience! :)",5,5/1/2023 7:08,GXS Bank
88,MegaDumpling99,Great features! Love it!,5,30/12/2022 0:52,GXS Bank
89,18871,Did an intern write that script? Nice.,5,28/12/2022 14:59,GXS Bank
90,Dian1117,"Personally don’t like the theme, anyway allow user to change more brighter one?
Dark color me uncomfortable :disappointed_face:",3,23/12/2022 4:53,GXS Bank
91,CHau200,"The app’s interface is really user friendly and sleek! It loads very fast as well, can’t wait to start using this digital bank app :)",5,16/12/2022 2:50,GXS Bank
92,Joshua David Ang,"Love the modern design, user experience was great as well.",5,14/12/2022 9:36,GXS Bank
93,lynxddd,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature,5,10/12/2022 13:18,GXS Bank
94,2108🎉🎊🎉,"Very easy to use, user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. can’t wait to explore and use more of the app",5,10/12/2022 11:32,GXS Bank
95,Chenny Chen Chen,Deleted the app. Sick of it serving no other purpose currently than being a lead generator.,1,9/12/2022 6:35,GXS Bank
96,tloh001,My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,5,9/12/2022 3:47,GXS Bank
97,raradonut,Great UI and user-friendly,5,9/12/2022 1:34,GXS Bank
98,Koko Dhanesh,J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :),5,7/12/2022 12:19,GXS Bank
99,Snsnbsskn,"app is really easy to navigate, user-friendly",5,7/12/2022 7:51,GXS Bank
100,honey_dijon,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential :thumbs_up_medium-light_skin_tone:,5,7/12/2022 6:31,GXS Bank
101,Fabianryr,Intuitive and easy to set up,5,7/12/2022 6:14,GXS Bank
102,Dfdsa132,"A bank like no other, no bank have such amazing feature to separate your money into different “pockets” to keep track of your goals. Moreover the interest rate they give is the highest for the no effort! Interest are being deposit daily and it’s amazing to see :dollar_banknote: coming in to the bank daily! 

The user interfaces is so intuitive that every button can be found with your eyes close, that makes money transfer so much smoother. Also the colours is so slick that I want to turn the app on everyday just to look at it and see the daily interest

Lots of potential for the product and I can’t wait to see more of it.",5,9/11/2022 3:13,GXS Bank
103,Peacemoon,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.,5,31/10/2022 5:18,GXS Bank
104,cjred,"Not prepared? Then don’t launch. See your direct competitor got a pure breeze of experience. Onboarding was swift and fast. Just think the reviews here are just made by the staff lol, focusing on UI/UX what a joke. Best UI/UX where others cannot experience YET.",1,9/10/2022 3:24,GXS Bank
105,Mani-singiri,"I recently used this digital bank, which has many security features and user friendly UI.
I 100% recommend to used this App.",5,6/10/2022 2:05,GXS Bank
106,♪ r.,No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.,5,4/10/2022 13:02,GXS Bank
107,sujmat2,Good interest rate on pockets and great user experience.,5,3/10/2022 7:18,GXS Bank
108,George Tanasaki,"Really like the details in the app, will definitely use it daily!",5,3/10/2022 6:17,GXS Bank
109,LCY2804,Love the savings pockets and daily interest!,5,3/10/2022 5:34,GXS Bank
110,ShannonPerryIgnatius,A whole new era of banking. Go GXS or go home! :flexed_biceps_medium-light_skin_tone:,5,3/10/2022 4:57,GXS Bank
111,Mephosis,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!",5,2/10/2022 4:17,GXS Bank
112,nosalucard,"Awesome, easy n fun to use! :smiling_face_with_smiling_eyes:",5,22/9/2022 2:01,GXS Bank
113,The Average Saver,"Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet, please use testflight for ur ‘launch’ aka beta testing :person_facepalming_light_skin_tone:

Update: doesn’t bode well… even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch",1,16/9/2022 7:19,GXS Bank
114,adayinthelifeofbulaylay,"Love the interface and saving pocket is so unique, can’t wait to meet my deposit goal!",5,12/9/2022 5:46,GXS Bank
115,gOoiyc,"What a joke! Nothing happens after you input your phone number - nothing! 

It’ll be so much, and I don’t exaggerate when I say this, so much faster for you to travel from one end of Singapore to the other, to open an account at a traditional bank branch. 

One piece of advice to the management of GXS Bank - do not launch if you are not ready! You are a joke. Please look at Trust Bank. Simple and easy to use. Account opened in like, 2 mins?",1,8/9/2022 7:14,GXS Bank
116,Kidaddictedtofacebook,Best get back to the drawing board. Design thinking  forget about the  many “dumb” users out there including me.,1,6/9/2022 23:39,GXS Bank
117,VivianARPC,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?,2,6/9/2022 17:57,GXS Bank
118,Anna Y,"Love the function of having multiple pockets as it helps me to track each target accordingly. Thank you for the genius allocation! Would have given 4.5 if there was, with the 0.5 hoping for unlimited numbers of pockets. :"")",4,6/3/2024 4:14,GXS Bank
119,Jia Hong,Quick transfers to bank acc and fast repayments. Very suitable for short term loans,5,6/3/2024 1:39,GXS Bank
120,E,"A feature they should implement is to save your recipients which you FAST to, makes it a lot safer as it prevents mistaken sending of funds to unintended recipients after the 1st transfer.",3,4/3/2024 4:23,GXS Bank
121,Baggio Pan,Ok Good system.,5,1/3/2024 9:52,GXS Bank
122,VELAN Ram,good :thumbs_up:,3,24/2/2024 5:22,GXS Bank
123,Yusri Wagiman,Can not open,1,24/2/2024 3:52,GXS Bank
124,Aaro,Hi any chance for foreign to apply? Im work at sg,1,18/2/2024 12:20,GXS Bank
125,Sky Koh,"Really really damm time wasting, if not ready for sign up don't launch. Close down and don't let people wait for you, uninstalling now. Trust Bank is much better, CRAB!",1,14/2/2024 9:10,GXS Bank
126,Faizal Mohamed (Pekjalfaizal),:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,5,9/2/2024 4:20,GXS Bank
127,Nad N,"Been using this bank for a while now and didn't face any major problems. What I enjoyed the most is the saving pockets area where we could create different pockets for each saving we want to do and even add goals into it. The 2.68% per annum is added daily (0.01) as long as you have a minimum of 150 in your savings. If not, you'll have to wait till your it accumulates up to 0.01 to be added. There was also cashback when you make payment using the card which I didn't know till recently.",5,7/2/2024 17:52,GXS Bank
128,Jas WJ,"Great app that can park your savings using pockets, but hopefully the interest rate of the savings pockets will increase due to the current economic conditions",4,26/1/2024 6:43,GXS Bank
129,Benjamin Tan,"Unable to login or use the forgot password function. System only replied with ""something wrong please try again later"" Now I was told I must wait for the next version of app to be rolled out progressively before I can login. Hopefully won't take too long",1,25/1/2024 13:30,GXS Bank
130,Adha Malek,:thumbs_up::thumbs_up::thumbs_up::thumbs_up:,5,15/1/2024 16:47,GXS Bank
131,iqbal abdul salam,"Sorry to have said this, why not this gxbank through by gxbank for worldwide",1,14/1/2024 13:58,GXS Bank
132,Tony Low,I don't set. A password in my phone n not allow me to down load this apps,5,12/1/2024 15:34,GXS Bank
133,Koong Wei Jie,When to sign up for the account in last year august. 5 months has pass still waiting. Please help to solve the issue.,2,10/1/2024 18:37,GXS Bank
134,Sairuldin Noor,Why i cannot login?.,1,9/1/2024 17:22,GXS Bank
135,Najmul Hasan,Very good app,5,7/1/2024 19:11,GXS Bank
136,L Sent,I'm stuck on the singpass page without being able to proceed. All is updated to latest ver.,1,30/12/2023 10:08,GXS Bank
137,WJ Chu,Love GxS bank. Would it be available on Google Pay as well? :winking_face:,5,30/12/2023 6:09,GXS Bank
138,Lam Quekyeong,Cannot sig up,1,28/12/2023 8:09,GXS Bank
139,Chester,Occasionally getting unable to login error.,3,26/12/2023 7:05,GXS Bank
140,Jahid,Well done,2,22/12/2023 23:47,GXS Bank
141,Singapore Buildings,"Buggy app, bad interest rate",1,22/12/2023 2:24,GXS Bank
142,Yw T,I am unable to log in today when i could yesterday. I cant transfer my money out to use. There is no alternative like physical counter or website so my money is stuck when i urgently need my money.,1,21/12/2023 3:23,GXS Bank
143,Aza_ain,What a nonsense app is this??download but say got malware in my hp?and ask me to fix my app?wth?,1,18/12/2023 16:39,GXS Bank
144,Emirul Izma Abdul,Easy and fast app,5,18/12/2023 14:38,GXS Bank
145,Diana Amin,could not open my gxs app,1,18/12/2023 11:13,GXS Bank
146,Swee Seng,"Your phone cannot be used Lol, which part of my phone have been modified? Nvr root or anything This is something that should not even be released to the public when you can't even get device authentication working UPDATE: So they decided to just close my issue and deemed it as ""resolved"" when it isn't Dont ever use this pos software",1,10/12/2023 6:01,GXS Bank
147,အကြီး ကောင်,Good,1,10/12/2023 2:23,GXS Bank
148,Muhd Rashid,Easy loan and easy payment with no hassle.,5,9/12/2023 19:41,GXS Bank
149,Suvega Srinivasan,Very good digital savings bank account that helps grow our funds.,5,7/12/2023 2:50,GXS Bank
150,Elias Chang,Great savings rate!,5,6/12/2023 8:40,GXS Bank
151,Hamzah Basir,Loving it so far.,5,6/12/2023 8:35,GXS Bank
152,xxxredyaxxx 21,Easy to use,5,6/12/2023 8:32,GXS Bank
153,Yew ZHIYING,Couldn't use the app suddenly,1,6/12/2023 7:12,GXS Bank
154,Amelia Loo,Poor try attempted but still cannot . Terrible app....,1,5/12/2023 7:51,GXS Bank
155,Ken Cheng,"Few months have passed. And we still can't add favourite payee, etc. Can u guy really work on it",1,4/12/2023 11:48,GXS Bank
156,Arthur Gerard,Could be scam,1,30/11/2023 10:42,GXS Bank
157,Peishan Tang,"I not be able to log in GXS bank today after I pay off my 1st outstanding loan. Is there a bug or hack? I hope my $ was offset for the loan. Even even I restart, power on off my phone, after updating the app, I unable to log in. When I log in with fingerprint, keep loading. Pls help.",1,29/11/2023 17:04,GXS Bank
158,Just Saus,"Seriously makes you wonder how grab and singtel took so long to come up with an app and there is no simple things like adding a payee. The debit card was only recently released when trust came up with a proper product more than a year ago with a proper rewards programme. Just like its owners, GXS is a failure.",1,25/11/2023 12:03,GXS Bank
159,Randy Sugianto 「Yuku」,"Why do the app ask me to rate on Play Store if my rating on the app is 5, but there was no such questions when I put a 1 rating on the app? It encourages unfair ratings on the Play Store.",1,24/11/2023 16:50,GXS Bank
160,孔虾粒,"Great interest rates and card spending rebates, and the app is also simple and easy to use.",5,22/11/2023 8:40,GXS Bank
161,Fuse,"Reminder, please up to date your app for users to activate Gxs debit physical card. Currently facing a small issue with logging in my GXS app & only through the app. + 5 secret digit number to input. All the best to new peeps have same trouble as me.... Cheers.",4,21/11/2023 0:00,GXS Bank
162,DingJie Lim,Hang when i want to log in with sing pass,1,16/11/2023 9:52,GXS Bank
163,Benson,Cannot set up my account in redmi 8T. Reach the email 2FA before I key in the numbers App closed,1,16/11/2023 5:01,GXS Bank
164,Alvin Khah,"Easy to use, clear info and rapid yet secure transactions. Highly recommend.",5,16/11/2023 2:29,GXS Bank
165,Shaifuddin Saptoe,Ease of use and payments,5,16/11/2023 1:24,GXS Bank
166,Hulkster Hakim,Easy to use & very helpful :OK_hand:,5,15/11/2023 23:14,GXS Bank
167,Tat Keong Ng,"Dumbest banking app ever. Get your own people to put 5*, never seen such app before, if you are good then make the app good and give 3.48%",1,14/11/2023 4:04,GXS Bank
168,Zam Bert,Been waiting since july to open an account.. Remembered that i sign up for early access first time round and was told would be informed once new slots are available for sign up.. As weeks goes by i see that other people were invited to open an account but not me.. Now 4 mths later am trying again and signed up again for early access..,1,12/11/2023 6:45,GXS Bank
169,Sajeev Kamalasanan,Easy & fast approval of loan with reasonable interest rates. GXS is giving other banks a run for their $$$. All the best GXS Bank!,5,11/11/2023 3:02,GXS Bank
170,Eileen Tan Seok Hwee,Ease of use.,5,10/11/2023 20:48,GXS Bank
171,Eric Leong,Great bank..Good interest rate,5,10/11/2023 8:50,GXS Bank
172,Raihanah Rahmat,Super efficient :thumbs_up:,5,10/11/2023 8:45,GXS Bank
173,Trinh Zhong,Easy of use,5,10/11/2023 7:19,GXS Bank
174,PeterPaul Yep,Ease of use,5,10/11/2023 7:07,GXS Bank
175,Be sensible & Logic,Superb,5,10/11/2023 6:50,GXS Bank
176,Brendan Chew,Almost perfect; I want to transfer via bank account number but they do no allow me to save the bank details so I'm stuck twitch manually entering the details everytime when I need to do transfer which can be prone to human error.,4,9/11/2023 9:04,GXS Bank
177,Muhd Shah,"Terrible, don't use this bank",1,8/11/2023 21:27,GXS Bank
178,ANG DENNIS,Friendly user,5,6/11/2023 9:04,GXS Bank
179,Cyrus Casper Nanana,Worst rate you will ever find. Bank interest are much more forgiving. This app calculate and told me about 8.5% Per/annum. Total outrageous. That's close to ah long rate . Horrible horrible. Straight away uninstalled,1,4/11/2023 8:47,GXS Bank
180,Lee Hock Leong (John),I hope the GXS Bank can given the interest 10% p.a as deposit $1 into the saving account as a free gift .,3,30/10/2023 2:30,GXS Bank
181,Gilbert Zhuo,False advertising of rates.,1,24/10/2023 16:43,GXS Bank
182,Lee Jia Xing,"Gxs is simple and easy to use, with a saving account/pocket that has no TnC. But not being able to add payees for FAST transfer is quite a setback and detrimental considering it as a basic common banking service that most people do. As a digital bank, isn't it pertinent to include basic online banking service like adding of payee?",3,19/10/2023 23:24,GXS Bank
183,Benjamin Loh,"Closed my account without giving me any reason. Just started to put money in the account to earn interest, merely only earned $4 of interest in total.",1,13/10/2023 3:20,GXS Bank
184,k.naresh kumar,"Fast and easier way to get the loan amount, as a foreigner i cant make but my friend helped me, it will be useful if foreigner also can borrow.. This is a suggestion.. Thanks",5,12/10/2023 6:42,GXS Bank
185,Jeffrey Tan,Ssucks,1,11/10/2023 1:35,GXS Bank
186,Grace Ho,Seems to be full. Unable to sign up. Uninstalling since it is the case.,1,8/10/2023 14:02,GXS Bank
187,El Sptr,"1) long waiting list 2) everytime i log into waiting list, it's as if I'm not in the waiting list as they ask me to sign up to be in the waiting list :face_with_rolling_eyes: alr 4 time alr 3) of course I'm still not in the GXS list Had sent light for the long wait. Meanwhile while it isn't approved I'll delete since I won't be able to use it. :expressionless_face: No spaces.",1,8/10/2023 10:15,GXS Bank
188,anurag chauhan,"Pathetic app and support. Paynow qr, which is the only way to spend money from this bank account is not working for months and support is providing meaningless replies",1,7/10/2023 14:03,GXS Bank
