,UserName,Review,Score,Date,Bank
78,Jessie Macatangay,"How many attempts for the year. Until now, message still the same. It’s not you, it’s us. We understand that receiving this news may be disappointing. And while we’re unable to disclose the specific reasons why your GXS FlexiLoan application wasn’t approved, please know that every GXS FlexiLoan application goes through an evaluation process that must meet our eligibility criteria and internal assessment requirements.",1,2023-09-25 09:02:09,GXS Bank
79,Jeff Tan7729,"Year 2023, a banking app that can't save pay, are you living in yesteryears?",1,2023-09-18 12:15:56,GXS Bank
80,MydailyGame Channel,"Cannot register, keep nothing pop up On sign up",1,2023-09-18 09:30:25,GXS Bank
81,Garima Gupta,No debit card. Max interest reduced to only 2.65 now within one month of start.,1,2023-09-17 05:37:20,GXS Bank
82,Andrew Chew,is there a login issue now,3,2023-09-17 04:02:08,GXS Bank
83,Sufiean abu,"Poor, get in touch with email late response after few weeks then replied. Not recommending :pensive_face:",1,2023-09-16 08:31:23,GXS Bank
84,c. hs,Great concept on the savings account. Daily interest really motivates keeping money there. Hope to see GXS bank grow and increase the savings account limit. Edit: Interest rate drop significantly. Moving out.,2,2023-09-15 07:26:07,GXS Bank
85,Kenny Ng,Cool app.,5,2023-09-13 05:31:17,GXS Bank
86,Karry Hane,Can't even open the GXS app... the only way to access your account with a digital bank. It's like placing your money and cementing it with a roof and 4 walls with no doors!,1,2023-09-11 14:16:16,GXS Bank
87,Fizie Joe,Attempt to try but it keep post something wrong.cannot go thru the apps.dont know why?3 times try even more but still can't get thru?,1,2023-09-10 10:08:38,GXS Bank
88,Han Yang Tan,Unable to open the app and use my funds. Is this some kind of cash grab?,1,2023-09-10 04:24:08,GXS Bank
89,Clement,"Wasn't able to log in since 7 Sept. Called the CSO hotline on 9 Sept and was told to try resending the email OTP. Checked the email junk box and retried multiple times but didn't receive any emails. Was told that they had to check on the back end. When asked when I could receive a response, they mentioned 2 working days?? But this means I wouldn't be able to carry out any transactions for 5 whole days. Imagine if I had a critical transaction to carry out! I would have no access to my funds!!!!",1,2023-09-09 02:36:11,GXS Bank
90,To Ricky,App got problem can't login,1,2023-09-08 11:42:58,GXS Bank
91,Edwin,"Stuck on Oops, something went wrong page when opening the app, while overseas. I can't imagine if I was in a urgent situation and my banking app failed like this. No way to access funds through a browser too means you can't do anything at all other than hope the problem is fixed soon. Put what you can afford to lose.",1,2023-09-07 22:35:27,GXS Bank
92,Zen,Same cannot open the apps now... What happened?...,1,2023-09-07 12:00:31,GXS Bank
93,znyew,Unable to open all of a sudden when I try on 7 Sep and only stuck in loading screen,1,2023-09-07 10:06:29,GXS Bank
94,Kelvin Goh,False promise so fast change interest rate,1,2023-09-06 11:27:37,GXS Bank
95,Garreth Alvin Chan,Unexpected error when trying to login. Kindly fix this issue ASAP.,1,2023-09-06 05:04:08,GXS Bank
96,Brad Pang,"Unable to open app. From other reviews, seems I am not the only one. How to trust this bank?",1,2023-09-05 12:04:06,GXS Bank
97,路過的天才,Cannot log in!,1,2023-09-04 15:50:21,GXS Bank
98,Lucius,Unable to use biometrics,1,2023-09-03 18:00:41,GXS Bank
99,Fadli Matswan,"Cannot login all of a sudden. Tried to uninstall and reinstall. Still no changes. What do i do here? I've got a pending repayment due. And if this continues, i will mostly probably be charged the late interest due the the app have login issues.",2,2023-09-02 02:11:56,GXS Bank
100,Nur Atiqah Ismail,"Cannot seem to open the app suddenly. Did not install new apps or change any setting on phone. Tried uninstalling and reinstalling still no avail. Although your CSO has been trying to rectify, it is still unsolvable. Sad, as when it first came out, I was the one of the many who applied in the beginning stage. Your services helped me. But now I have no access to it.",1,2023-08-31 01:31:06,GXS Bank
101,Joselyn Tan,Am trying to redo application. So i closed account. Now cannot re open. Quote lost in space,3,2023-08-30 01:38:19,GXS Bank
102,MaP Undey,"Just found out that they are reducing their interest rate to a pathetic 2.68%. don't like this bait and switch marketing strategy, lure us with high interest rate then suddenly drop the interest rates once they get enough sign ups. [Update] Whats the point of increasing the main wallet interest when no one puts money there? Its not like you're increasing it back to 3.48% right? The pt is the big reduction of the Pockets interest rates which is the key thing that people arent happy about.",1,2023-08-29 09:19:51,GXS Bank
103,Vincent Wong,Was rejected without details,1,2023-08-28 12:06:12,GXS Bank
104,ganesh nesh,Firstly i can't even log in shows some error n stuff haiz,1,2023-08-27 07:13:21,GXS Bank
105,AKIDA ARIFFIN,Cannot open the apps. Why partner with Grab? Useless app,1,2023-08-26 05:13:06,GXS Bank
106,Muhammad Suhaimi,"An absolutely rubbish apps, with zero chance of getting loan approval, totally useless",1,2023-08-25 23:06:41,GXS Bank
107,Ati,Have not even tried already failed on me. Just to download has the error and ask to download again .. :pensive_face:,1,2023-08-25 00:27:39,GXS Bank
108,Goh Hang Boon,"The apps cannot make it. I tried to apply for a loan. After filling up all the forms, unable to proceed after the last question, are you a US citizens. The next button does not pop up be the answer is yes or No.",1,2023-08-24 06:04:32,GXS Bank
109,Prakash Gunasekaran,"Only Singaporean can apply for loan, good if everyone can apply.",3,2023-08-23 04:01:42,GXS Bank
110,Alex Ng,Rates are not so attractive already,3,2023-08-21 16:44:58,GXS Bank
111,Lyn Feng,Reduce interest rate in less than a month. Waste time open account here.,1,2023-08-18 14:20:41,GXS Bank
112,goh goh,Can't open,1,2023-08-18 12:06:59,GXS Bank
113,Q K,Bait and switch :thumbs_down_medium-light_skin_tone: Switching to standard chartered eSaver for 3.4% interest,1,2023-08-17 15:49:29,GXS Bank
114,Wilfred Watanabe,"""Oops something went wrong! ..."" (if only i can attach a screenshot)",1,2023-08-16 06:42:59,GXS Bank
115,T Y S,Cannot even sign up properly,1,2023-08-13 15:28:34,GXS Bank
116,Legal Unicorn,Trolling us bruh,1,2023-08-13 03:31:45,GXS Bank
117,J J,No option to add payees,1,2023-08-11 00:43:48,GXS Bank
118,GS,Garbage company for deceiving the public,1,2023-08-08 05:22:25,GXS Bank
119,Nihit Gupta,"Barely a month in, GXS has indeed chosen to slash their interest rates i.e. effective 17 August 2023 onwards, the interest rate earned on Saving Pocket(s) funds have been adjusted from 3.48% p.a. to 2.68% p.a.",1,2023-08-07 17:14:35,GXS Bank
120,Conan Kong,I seem to be having issues with the opening of the app.,1,2023-08-07 11:10:09,GXS Bank
121,Yvonne Lee,Interest rate dropping substantially after just ONE MONTH. Kind of hilarious. Moving out!,2,2023-08-07 07:39:55,GXS Bank
122,John Lim,"3.48% interest rate only last for 2weeks, the main selling point for this app is now dropped to 2.68% pa :face_with_tears_of_joy:",2,2023-08-07 07:29:01,GXS Bank
123,Eugene KH,after two week still pending my account.,1,2023-08-07 02:15:41,GXS Bank
124,khoo ky vinh,Seamless. Got it up and running in less than 5mins! Easy to transfer in and out from other banks. I like the daily interest credit. Helps me set aside money for daily use and motivates me to check how much I'm getting everyday. Dun understand why there are gripes and complaints from other reviewers. This app is fantastic :smiling_face_with_heart-eyes:,5,2023-08-07 00:55:53,GXS Bank
125,Djinn Kojack,I have been trying for few hours to signed up for the flexiloan using Singpass.. till now it shows couldn't retrieve Myinfo.. wanted to Live Chat with anyone for assistance but there's no icon showing Live chat at the help center at all..,1,2023-08-05 22:46:20,GXS Bank
126,Rahmat Abbas,Love GXS,5,2023-08-05 16:14:08,GXS Bank
127,Bob Cheung,"Good to see increased competition in the banking space (high interest is good, but inexplicably only given within a saving pocket), but GXS app lacks basic functionality, eg. ability to save payees (at the point of writing this review, these details need to be re-input each time - irritating and error prone). Suggest that rather than working on cool, but otherwise non-essential functions (like saving pockets), the company should focus on the basics first.",3,2023-08-05 03:01:35,GXS Bank
128,Raymond Valdez,Details not complete,1,2023-08-04 00:25:24,GXS Bank
129,Bryan Tan,"Registering, get the notice it's full and sign for interest. Received email notification, sign up to get prompt to sign for interest...again.",1,2023-08-02 23:34:54,GXS Bank
130,Angel G,Tried multiple times still unable to sign up....,1,2023-08-02 15:41:40,GXS Bank
131,anurag chauhan,"No support for SGQR. When only way to spend is QR pay, atleast support SGQR, GrabPay as very few business have Paynow QR!",2,2023-08-02 13:45:31,GXS Bank
132,M L,Can GXS pls explain why the app keeps saying there is unexpected error and I cannot even open the app????,1,2023-08-02 07:59:24,GXS Bank
133,zoe chua,Dogshit app that takes forever to setup and days to review applications,1,2023-07-31 08:44:55,GXS Bank
134,Dexter Chew,Cui full. Cannot sign up. Only on waiting list. What a waste.,1,2023-07-30 08:54:20,GXS Bank
135,Nurfadilah Jamaludin,rejected everytime try to apply,1,2023-07-30 07:23:20,GXS Bank
136,H.L Chua,Lousy app. Applied on Saturday and was informed that application closed on Tuesday. Waste time.,1,2023-07-28 11:48:50,GXS Bank
137,ken ng,Not worth the effort to sign up. Not transparent in application selection process.,1,2023-07-28 09:47:26,GXS Bank
138,vevin mok,All early sign up slots taken? I thought it's already open for all to sign up ?,1,2023-07-28 01:55:36,GXS Bank
139,Ruby,Download already can't even open the file.,1,2023-07-28 01:27:18,GXS Bank
140,Kam Weng Goh,"I installed the app and got to the first screen. When I tried to proceed, it popped up a message saying and there is an overlap app that is NOT SECURED. It then asked if I want to proceed. What is this about?",1,2023-07-28 00:56:50,GXS Bank
141,Goh Lin Ling,such a lousy app. cant even login or set up account,1,2023-07-27 10:13:14,GXS Bank
142,Han Jie Tan,"I wish we can put a 0 star for it. Make you create an account, wait for it only to tell you that it is full while others cut queue to have the account created while you continue to wait. Probably just out to farm your data. Dont bother",1,2023-07-27 07:40:27,GXS Bank
143,Chen Zhenfu Andy,app is not been updated.,3,2023-07-26 23:06:12,GXS Bank
144,Chiam Mack,Simple to use. Took a short while to know how to process. Hope that they can maintain the great interest. Good job GXS.,5,2023-07-26 14:53:42,GXS Bank
145,Benjamin Sion,App is not clear and Singpass details are not accurate for them. It didn't allow me to open an account....,1,2023-07-26 09:43:35,GXS Bank
146,David Leong,Buggy app and bad customer support,1,2023-07-25 14:55:42,GXS Bank
147,Song Liong Ng,"Great experience. Setup, top up, setup pocket and transfer smoothly",5,2023-07-25 11:49:10,GXS Bank
148,sherrick Khoo,"Sign up failed without given a reason. Ask to see FAQ but click it doesn't link to it. Hello! I don't know where you guys are heading. If you don't want people to sign up, just cross out at the beginning, are you trying to gather personal data???!!!!!",1,2023-07-25 02:00:53,GXS Bank
149,Wei Ping Yuen,Scan QR feature failed big time! Parsed 16.2 as 16.02! Amatuer mistake. Did the developer of this feature attend more than a day of class in CS?!,1,2023-07-24 08:23:52,GXS Bank
150,EleForced MLG,"Everytime successfully signec up, after log in numerours time, it told me ""we have lost you in space"". Poor online banking",1,2023-07-24 00:01:24,GXS Bank
151,Felicia Lim,"Hi, is something wrong with the app? Am error message says ""Something went wrong"" when I tried to log in with the Passcode I set yesterday.",2,2023-07-23 15:24:58,GXS Bank
152,Actavis SG,App is snappy. Interface is simple and straightforward. Most importantly interest is attractive. Keep it up! By the way please add 'Save payee' feature.,5,2023-07-23 15:00:56,GXS Bank
153,Samantha Tan,Needs a feature to save payees,3,2023-07-23 07:50:59,GXS Bank
154,Radi Nordin,Apps easy to use and easy transfer,5,2023-07-23 01:47:53,GXS Bank
155,Aaron Koo,Seamless registration. All done in less than 15 mins. Signed up and funds loaded. I guess they improved the app compared to the issues faced by other users earlier on.,5,2023-07-22 08:11:27,GXS Bank
156,Km Lim,"Hopeless app. If you can't auto startup singpass app, how to complete the registration!!!!",1,2023-07-22 05:52:49,GXS Bank
157,Chris P,"blank screen after they pull all my Singpass data. terrible digi bank, waste of time. taking my money to other banks. my phone is updated, latest OS, not jailbroken, all official and secure.",1,2023-07-21 14:08:06,GXS Bank
158,Zwe Mahn Moe,Please put in option for adding Payee/beneficiary in the app. We should not be typing in bank account number everytime we make a transfer.,4,2023-07-21 09:26:37,GXS Bank
159,Nor Azman,I can't seem to register!!!!,1,2023-07-21 09:14:48,GXS Bank
160,Liu Chung Yu,"App got a lot of issues, forever logging in singpass when want to get an account",1,2023-07-21 02:51:06,GXS Bank
161,ASL 97,"Update 2023/07/20: saw the news about more slot being open but it still gives the same ""library tampering"" warning and force closed, no idea why, maybe it's because of developer mode is enable or whatever, but I am an app developer and no other bank apps complain about anything.",1,2023-07-20 13:57:05,GXS Bank
162,TJ K,Nice,5,2023-07-20 12:59:47,GXS Bank
163,Allen ong,Can't even open the app after downloaded it....try redownload it a few time also same,1,2023-07-20 12:11:21,GXS Bank
164,LittleKlas AS,I can't sign up at all!!!! It just go blank after I click up with singpass,1,2023-07-20 11:10:00,GXS Bank
165,SC Yeo,Unable to sign up using singpass after multiple times.,1,2023-07-20 09:26:07,GXS Bank
166,Bernard Ong,Waste time download. Keep repeat to login my Singpass,1,2023-07-20 08:42:30,GXS Bank
167,Gautam Anand,"Doesn't work after login page, freezea",1,2023-07-20 07:11:00,GXS Bank
168,Eric Lim,"Tried to sign up using singpass. After approve and redirect to the app, it still keep asking me to sign up.. useless app",1,2023-07-20 05:19:04,GXS Bank
169,Adrian Han,Over lapping wording. Pull down refresh need to tweak more does not feel smooth it all. Opening of account does not work if you are connected to WiFi.,2,2023-07-20 01:45:30,GXS Bank
170,Alvin Guo,Great App Easy to use,5,2023-07-19 23:47:18,GXS Bank
171,athornz,Cant launch. Stalled at invisible layer. Then receive crashed notification.,1,2023-07-19 14:51:37,GXS Bank
172,Dylan,"Received email notifying savings account is available to sign up, but when i tried to sign up, i got rejected immediately. No reason was given when rejected, only show faq which does not answer my question. Even after reaching out to the support email, no specific reason was given. I was simply told not eligible. An alternative savings account I suggest would be OCBC 360, which also offer high interest rate with terms and conditions.",1,2023-07-19 13:48:32,GXS Bank
173,Tsayyou Chia,"Terrible experience. Took 4 attempts to finally set up account. Previous 3x received error msg ""couldn't approve your account at this time"". When the account was finally set up a few hours later, the app crashed. Have restarted the phone, uninstalled and reinstalled the app. I'm still stuck at the first page after logging in, which seemed to have a popped up msg/ad but not loading. Then the error msg of ""app is not responding"" appeared and prompted me to close the app.",1,2023-07-19 12:15:44,GXS Bank
174,John Smith,"No web interface, forced to use the app",1,2023-07-19 12:04:43,GXS Bank
175,Ming Quan Chua,Easy to register and deposit. Clean UI interface.,5,2023-07-19 11:57:51,GXS Bank
176,Peng Seng Lin,You app downloading alway show technical priblem why??,5,2023-07-19 09:35:11,GXS Bank
177,Kelvin Heng,After setting up the account today. Login to GxS screen become unresponsive. Phone Samsung S22 ultra.,1,2023-07-19 06:56:20,GXS Bank
178,Jerry Chan,Crash upon login into a newly created account. Reinstall and still the same. I'm on Android 13 phone.,1,2023-07-19 06:01:14,GXS Bank
179,S K,Terrible implementation of Singpass. Sign up keeps redirecting to Singpass,1,2023-07-19 05:16:09,GXS Bank
180,Ummageswary Bala,"What is the criteria to approve the loan? Each time my hubby and I tried to apply loan multiple time, it get rejected. I wonder how much do we need to earn every month to get the loan approved!! If you have some rules and criteria then state it out so people won't waste time applying.",1,2023-07-19 00:20:04,GXS Bank
181,Zzz Xxx,Worst apps everything also no resolve well,1,2023-07-17 13:27:25,GXS Bank
182,Wan Shah,Waste of time app!! Keep on crashing when want to register. ZERO stars !!!,1,2023-07-15 02:18:08,GXS Bank
183,Tegindarjeet Singh,How to cancel or delete all my personal detail submit on GXS app thru Singpass?,3,2023-07-14 06:44:30,GXS Bank
184,Wendy Jap,"Sleek, simple to use.",5,2023-07-11 14:59:38,GXS Bank
185,Dan Lew,"After signed up and asked for my info,straight away got rejected!",1,2023-07-11 11:03:58,GXS Bank
186,Eric See,Have been downloading this app for past few days. After download it kept showing me oops unexpected errors......,1,2023-07-10 16:42:56,GXS Bank
187,N O,"Misleading advertisement for flexiloan promotion for July 2023, stated rate as low as 2.99% p.a. Issued a rate that was extraordinary and way beyond all major banks that would offered even at their highest peak rate. A real shock of disbelief, thinking was a sign-up bug but it ended to be their best rate offered. Would be really cautious on signing up any offers from GXS even though their app user interface, interaction, and wording do project confidence in honoring their offer.",1,2023-07-09 19:51:49,GXS Bank
188,Collin Sta Maria,"Can't even load properly. Prompted to set 6 digit security code, then application disappear and had to redo again with the same problem. Is this a legitimate mobile app?",1,2023-07-06 09:19:04,GXS Bank
189,Damnlame78@gmail.com 7809974g,Easy to use. Awesome,5,2023-07-04 13:47:06,GXS Bank
190,jeffrey ooi,I have merely tried to apply for your flexi loan on this app. But when i tried to applied like 9 times straight i have been instantly being asked to reapply over and over again. Very bad for user experience and does not live up to expectations till today,2,2023-07-01 09:09:47,GXS Bank
191,Tan Ivy,Not so good im not citizent or pr but ipen saving account also can not,1,2023-06-28 01:55:18,GXS Bank
192,Slack Rider,Cant even apply.. apps doesn't work,1,2023-06-28 00:42:41,GXS Bank
193,Jon Tan,Rubbish app totally can't log in and see,1,2023-06-25 15:05:38,GXS Bank
194,Faith Tan,Unable to open the app once I've installed,1,2023-06-25 10:18:20,GXS Bank
195,Andrei Chan,"Download the app, and tried to apply. Got an error message, page cannot download and cannot login at all. Uninstall the app within 5 mins of trying. Don't bother. I got better choices elsewhere.",1,2023-06-25 04:12:10,GXS Bank
196,Norman Lim,What is the purpose of your app? Why would I use your app over DBS uob and ocbc? I don't see why you are better in any way?,1,2023-06-22 13:21:57,GXS Bank
197,David Chan,Great..,5,2023-06-22 04:55:21,GXS Bank
198,Nor Eliya Khan Ali,First time checking out on dis and didnt know grab came with this and enhanced features was super accessible indeed within mins i was able.to withdraw e.loan even though e security was quite super securable which i liked.thank u for making things affordable and reachable for difficult times for mummies:OK_hand::folded_hands::smiling_face_with_hearts::rose:,5,2023-06-16 10:17:39,GXS Bank
