,UserName,Review,Score,Date,Bank
40,ShoSho Brown,wow. just wow.. a must have bank to pick up the lack other banks have,5,2024-03-25 23:35:14,Revolut
41,lee liptrott,Great card and app,5,2024-03-25 23:32:24,Revolut
42,Jay Josepshs,Exceptional online banking!,5,2024-03-25 23:27:30,Revolut
43,Agnes Dunbar,Excellent,5,2024-03-25 23:27:14,Revolut
44,Gary,Great stuff,5,2024-03-25 23:02:11,Revolut
45,Becki Walker,Easy to use good app all round,5,2024-03-25 22:41:51,Revolut
46,Carl Ontong,I cannot fault Revolut..it has always worked well for me throughout international travels.,5,2024-03-25 22:09:24,Revolut
47,Yakunat Sankey,"It's one of the most popular digital banks with good reason. Responsive app, great features and competitive rates/cashback with loads of retail and travel partners.",5,2024-03-25 22:07:31,Revolut
48,ThatGuyWithaGoodMic UNKNOWN,Very helpful and useful app that I highly recommend to anyone to use.,5,2024-03-25 22:04:54,Revolut
49,Ant on,Great app this is the future of banking,5,2024-03-25 21:55:20,Revolut
50,Luis Cobarrubia,I love my new credit card,5,2024-03-25 21:46:03,Revolut
51,Tristan Trevissick,Very very good nice,5,2024-03-25 21:39:44,Revolut
52,Dominik Mc Mahon,"I cannot now log into the app, it crashes on opening, even having updated it. It refuses to send me either an sms or email to let me enter and access my funds, I just get a notification saying 'something went wrong'. This is ridiculous. There is no online support, apparently it's only in-app. Where do I go from here?",1,2024-03-25 20:56:21,Revolut
53,Lucas Ormond,Amazing transaction quickness very happy all round,5,2024-03-25 20:55:38,Revolut
54,boby davis,"Very good app,we can send money any where with best rate .Also we can have savings option also",4,2024-03-25 20:50:09,Revolut
55,Roberto de Abreu,Works well and does what I need it to do,5,2024-03-25 20:48:47,Revolut
56,Trevor Langthorne,Very poor,2,2024-03-25 20:33:29,Revolut
57,cucoara costel,Add Honor Magic V2 to esim list of supported devices.,1,2024-03-25 20:24:20,Revolut
58,syed zakeer,they're opening my account since 1 year disgusting. always on waiting list,1,2024-03-25 20:23:32,Revolut
59,Azabe Boubak,Good,5,2024-03-25 20:07:45,Revolut
60,Waqas Arshad,Very Good Service with lots of features,5,2024-03-25 19:59:53,Revolut
61,al mai durr,Great services!,5,2024-03-25 19:55:25,Revolut
62,Ellie Patterson,Good and easy to use,4,2024-03-25 19:47:47,Revolut
63,Top games,Amazinb,5,2024-03-25 19:21:20,Revolut
64,Emma Purcell Skehan,Keeps crashing on me won't even open the app for me now,1,2024-03-25 19:17:24,Revolut
65,pedram tabaeian,"Best bank , easy transaction ,no daily problems with app",5,2024-03-25 19:07:33,Revolut
66,Tariro Makhakhe,Quick and easy to use,5,2024-03-25 18:52:55,Revolut
67,Manuel Perez,"Great card , recommend to everyone to travel",5,2024-03-25 18:51:35,Revolut
68,Robert Kargbo,This app is not available in my country SierraLeone,1,2024-03-25 18:43:40,Revolut
69,mariusz kozinski,Easy quick and funcional app,5,2024-03-25 18:40:15,Revolut
70,Chris Rawlings,Just Great,4,2024-03-25 18:32:26,Revolut
71,Chris Armstrong,Very good app use it when I am abroad alot and night out in this country,5,2024-03-25 18:13:41,Revolut
72,James Webster,"Great app, easy to use....",5,2024-03-25 18:12:43,Revolut
73,Rebecca Taylor,Easy to go with revolut,5,2024-03-25 17:53:46,Revolut
74,Kenneth Estrada,No idea if I was able to get my money out. Laggy app that never works.,1,2024-03-25 17:51:05,Revolut
75,Paul Smith,Love the refer friend get paid wages early top quality better than hugh street banks,5,2024-03-25 17:44:08,Revolut
76,Paweł Mateusz Zimny,"Aplikacja dla idiotów. Fantazyjne pascody a google pay autoryzuje się sam, ale niczym nowobogacki ruski mogę zamówić złotą kartę. Macie złote koronki do szczęki?",1,2024-03-25 17:43:01,Revolut
77,Lynda Fortune,"Very satisfied with service , easy to use with no delays",5,2024-03-25 17:29:28,Revolut
78,SIMON TRAIN,Really good app easy to use.,5,2024-03-25 17:28:43,Revolut
79,Vinod Kumar,Love this app how can one make such an exceptional app .,5,2024-03-25 17:11:52,Revolut
80,DM Media,Does the trick. :OK_hand_medium_skin_tone:,5,2024-03-25 17:07:45,Revolut
81,liz byrne,Very good,5,2024-03-25 17:07:36,Revolut
82,peter scott creative,Easy to use,5,2024-03-25 16:56:54,Revolut
83,Sharon Nabos Historillo,easy to use.. great,5,2024-03-25 16:49:40,Revolut
84,Riccardo Lucarelli,Good bank,5,2024-03-25 16:48:11,Revolut
85,Richard Rees Phillips,could do with more available trading markets.,4,2024-03-25 16:43:55,Revolut
86,Amal Elderaa,Useful application,5,2024-03-25 16:34:50,Revolut
87,Dimitris Tsatsos,Perfect app,5,2024-03-25 16:23:50,Revolut
88,David Riordan,Good system when it works.,4,2024-03-25 16:07:07,Revolut
89,Jomar,Taking so longgggggggggggg poorrrrrrrrrrr transferring,1,2024-03-25 15:54:51,Revolut
90,Jamal,That new design is disgusting. Revolut is a financial app not a social tool. Not everything needs to be hip. I now need a manual to find out where is my account and how to access crypto.,1,2024-03-25 15:40:40,Revolut
91,Sinziana Andone,Best app for me,5,2024-03-25 15:26:56,Revolut
92,dietrich balima,Good,5,2024-03-25 15:14:53,Revolut
93,Alin,Practical and safe (until now),4,2024-03-25 15:04:00,Revolut
94,Kwintosz,very professional and great app the best even for saving. just don't like that you have to pay a fee when transferring from bank,4,2024-03-25 15:01:05,Revolut
95,Adam Watts,Very good,5,2024-03-25 14:53:44,Revolut
96,Roman Grg,Quite Impressive But it takes time,4,2024-03-25 14:00:10,Revolut
97,simon taylor,Nice,5,2024-03-25 13:57:38,Revolut
98,mehran ghorbani,Excellent experience,5,2024-03-25 13:48:52,Revolut
99,S.H.M. Ilham,Yep it's good one,5,2024-03-25 13:24:21,Revolut
100,Laurentiu Lionte,Misto,1,2024-03-25 13:10:19,Revolut
101,Diana Striblea,Amazing!!,5,2024-03-25 11:57:51,Revolut
102,Godbanna hill,Good service,4,2024-03-25 11:17:49,Revolut
103,jay Sea,Amazing app,5,2024-03-25 10:19:51,Revolut
104,Mary Akinboyewa,Nice,5,2024-03-25 10:09:54,Revolut
105,Janis Dalbins,Great service for my needs. Have not had any problems with banking.,5,2024-03-25 06:43:22,Revolut
106,Ashley Sandusky,"I ABSOLUTELY LOVE my Revolut account!! BY FAR, the coolest looking cards, & don't get me started on all the AWESOME SECURITY FEATURES! One of the most helpful, I think, is the Location-Based Securty feature! They will AUTOMATICALLY DECLINE ANY TRANSACTION ATTEMPTED WITH YOUR DEBIT CARD IF YOUR PHONE ISN'T @ THE SAME LOCATION WHERE THE TRANSACTION IS BEING ATTEMPED, & you can easily switch it off whenever. If you travel a lot then you NEED this account! Check it out you won't regret it TRUST ME!",5,2024-03-25 06:24:55,Revolut
107,Mister Flamingo,"The metal plan became too expensive. I don't have any interest in 90% of the benefits. The UX is also going down. Seems like the UI people are taking over. Don't forget the main objectives: check balance, check cards, check cryptos, check savings and make payments.",2,2024-03-25 06:22:34,Revolut
108,kevin keay,Good,5,2024-03-25 05:53:25,Revolut
109,LBYBreakUI,Works nicely,5,2024-03-25 05:45:48,Revolut
110,Giuseppe Moscelli,Fantastic app!,5,2024-03-25 05:44:58,Revolut
111,Marco,I cannot access anymore it won't accept my passcode is that normal? I click I forgot my passcode but it always sends me back to input the passcode....also when I try to recognise through selfie It doesn't recognize me lol,1,2024-03-25 05:13:05,Revolut
112,Dimitri Neophytou,works well great :thumbs_up:,5,2024-03-25 04:27:21,Revolut
113,Pedro Ulises García Valdés,The Best app to travel,5,2024-03-25 03:57:46,Revolut
114,Andy Corney,App no longer loads. Tried reinstall. No avail.,5,2024-03-25 03:39:22,Revolut
115,John Proxy,"Top, but don't make any mistakes, if you have to contact the support, alléluia.......",4,2024-03-25 03:37:38,Revolut
116,Ondřej Srb,"I am getting stuck on uploading document to confirm my identity...the app just says ""...please try again later"". Nowhere to call, nowhere to write... exactly what worries me about a ""mobile bank like this""...",1,2024-03-25 02:49:54,Revolut
117,Little Nay,"Was an absolutely brilliant bank until their recent 'Fees' to withdraw your own money. They call it fair, I'd highly recommend you go elsewhere to the main banks where you can't get robbed of your own funds or forced to buy a plan. Disgusting behaviour from you Revolut, honestly disappointed.",1,2024-03-25 02:45:59,Revolut
118,Bas C,Great,5,2024-03-25 02:15:01,Revolut
119,Lorraine King,Not impressed. You say I have an account when it didn't complete the registration or load properly the first time so now my referee won't get his reward for inviting me to join!!,1,2024-03-25 01:59:16,Revolut
120,Karim Gausu,NOSTALGIE BRUSSEL LIVE 80'S,5,2024-03-25 01:45:07,Revolut
121,Dan,"I get it, I need to set a longer password, but why block me when I really need to use the app, and I am not alone. From what it was a few years back, this app is getting worse, and so are the services. What's still missing is sports bets and video ads. Update: The account is not blocked, but a screen prevents performing any action until changing the password. I can briefly see how much I have in my account.",1,2024-03-25 01:27:00,Revolut
122,Pawel Stawski,Ok,5,2024-03-25 01:05:22,Revolut
123,Amina Ismail,Just good init,5,2024-03-25 00:09:09,Revolut
124,Ciaron Ohare,Useful app for travel and paying in different currencies.,5,2024-03-24 23:50:07,Revolut
125,josko serka,Excelent!,5,2024-03-24 23:46:50,Revolut
126,André Lage,"after today update the background crash disappeared, thank you for the fix.",4,2024-03-24 23:34:42,Revolut
127,elena stepan,Super ok,5,2024-03-24 23:25:50,Revolut
128,Omomia Joshua Ayo,Wonderful,5,2024-03-24 23:08:00,Revolut
129,Mick Shaw,"A fantastic app where you can handle your day to day living expenses as well as having access to crypto, commodities and stocks trading. Lots of benefits like cash back and travel perks etc.",5,2024-03-24 22:36:38,Revolut
130,Michael Michaelides,I don't know why but I keep getting pop ups for Revolut not responding,3,2024-03-24 22:33:31,Revolut
131,Damilola Keshiro,"Works so great for me, Easy setup. Able transact greatly",5,2024-03-24 22:28:45,Revolut
132,Sándor,annoying ANR popup all the time,1,2024-03-24 22:12:20,Revolut
133,Susan Fawden,"I like it, it's very convenient when to go to another country and pay in their currency with a good rate. Also easy to get funds and exchange for the currency of your choice",5,2024-03-24 21:58:55,Revolut
134,David Dillard,Great way not to carry too many CC's.,5,2024-03-24 21:40:36,Revolut
135,Deb Bailey,Love me revolut,5,2024-03-24 21:36:34,Revolut
136,Alex Kamovitch,"Fast transactions, in crypto as well, works the best in all countries I visited with the lowest fees.",5,2024-03-24 21:29:04,Revolut
137,Abdullah h,"My account got restricted without any clear reason. I communicated with the support team and they haven't done a thing for over 1 month, and still asking me to wait!!",1,2024-03-24 21:20:34,Revolut
138,John Kokolay,Excellent,5,2024-03-24 21:16:54,Revolut
139,Sachin Shah,Well done,5,2024-03-24 21:11:41,Revolut
140,Craig Evans,Love the in app currency exchange and speed of international transfers as well as being able to spend in local currencies abroad,5,2024-03-24 21:08:11,Revolut
141,Jonathan Basilio,"I like it because its very easy, useful I just hope it's secured",4,2024-03-24 21:07:24,Revolut
142,James Crombie,Easy to navigate,5,2024-03-24 21:06:05,Revolut
143,Ciaran Noone,Good,4,2024-03-24 20:57:55,Revolut
144,michael redwood,Slow and useless,1,2024-03-24 20:50:17,Revolut
145,Ioan Ciocan,Amazing :saluting_face:,5,2024-03-24 20:35:31,Revolut
146,Ludmila Wilson,Good service,5,2024-03-24 20:35:19,Revolut
147,Lucas Gabriel Duarte Alves,"App certainly has grate features. I am concerned however with all the posts on accounts being closed and money blocked. There's too many floating around. A bank you cant trust with your money no matter the features, you just dont wanna use it. I only put a little at the moment cuz of the fear, which says a lot.",3,2024-03-24 20:18:49,Revolut
148,charlie hagstrom,"I like it, probably the best nano bank there is",5,2024-03-24 19:53:57,Revolut
149,Antonio Aversa,"My main account in FR & CH and to invest fun money. Easy-to-use, great features such as live notif on spending with good categorization, free card with easy config, FX rates 1% better than banks in my area. Basic but useful budgeting features and markets (yet more intuitive than most brokers apps). To improve: fix data export (often broken), add export of total value over time of portfolios. More flexible budgeting and analytics: manual entries, assign money split to a refund.",5,2024-03-24 19:48:43,Revolut
150,ebuka australiar,excellent service,5,2024-03-24 19:25:01,Revolut
151,Ali Banafi,Nice,5,2024-03-24 19:21:45,Revolut
152,Marian Daly,Great for transfers for birthdays :birthday_cake:,5,2024-03-24 19:17:25,Revolut
153,Andrius Janciukas,I like service and attention to details in the app architecture,5,2024-03-24 19:15:00,Revolut
154,Bogdan Maxim,Very useful. Works flawless.,5,2024-03-24 19:12:08,Revolut
155,goko taxmore chibaba,Excellent service,5,2024-03-24 18:43:23,Revolut
156,Elena Ailenei,Amazing,5,2024-03-24 18:42:00,Revolut
157,Jessica Park,Excellent App,5,2024-03-24 18:35:35,Revolut
158,Radu Bidirel,Perfect for eveything i need.,5,2024-03-24 18:31:47,Revolut
159,Orla Murphy,"love Revolut, it has worked very well for me for years.",5,2024-03-24 18:19:22,Revolut
160,Zelia Jardim,It's good and it's nice to use when your on holiday,5,2024-03-24 18:03:10,Revolut
161,Erick T. M,Would recommend to anyone:smiling_face:,5,2024-03-24 18:02:51,Revolut
162,Mehnaz Fatima,Easy,5,2024-03-24 18:01:24,Revolut
163,antonella marina,Great,5,2024-03-24 17:46:55,Revolut
164,Kevin Syder,"So far so good only few days in ,will know more once fully operational with DD an salary ,update done full switch have no idea what so ever if it's going through there is no info no updates no confirmation so not that great ,I don't know how long to wait either it's a gamble if my bills will bounce as no money be in my old account an no way of seeing what's happening in revolut regarding the full switch .update do not allow joint account so cannot switch .",2,2024-03-24 17:18:52,Revolut
165,Alex Ardeleanu,"The new rules are really bad, they want from you information from the other banks accounts you own.",1,2024-03-24 16:40:47,Revolut
166,Patricio Valentin Coelho,Very good! Very useful,5,2024-03-24 16:20:27,Revolut
167,lucia de Freitas,I can't add my citizen details. I vê tried to switch off my phone also but it still doesn't work. I must say that the team is really helping me out to sort my account and I really appreciate,5,2024-03-24 16:11:02,Revolut
168,Ahmad Gaza,Amazing,5,2024-03-24 15:35:13,Revolut
169,Cello Ochoa,Not possible to verify my ID with my passport. 'Document Capture didn't work. Please try again'. I've tried this 1000 times. Nothing.,1,2024-03-24 15:13:56,Revolut
170,Mickey Jebneh,Scam .. Deposited money won't let me access even with correct pass code .. Send me junk emails but doesn't recognise my email for logging in purposes,1,2024-03-24 14:57:31,Revolut
171,Micah blake,Very good trading options,5,2024-03-24 14:30:51,Revolut
172,Ioannis Cherouveim,This app is in another level,5,2024-03-24 12:36:20,Revolut
173,George Jacovides,Some times my card does nor working,5,2024-03-24 12:28:41,Revolut
174,Dieter Tetzel,Perfect modern online banking in every respect,5,2024-03-24 12:27:23,Revolut
175,Punto Latino,Just loving it!,5,2024-03-24 12:14:53,Revolut
176,Pauline Koh,Can anyone tell me this card can be use in Taiwan? Is it that top up n use as credit card over there instead of converting to TWD dollars. Please,1,2024-03-24 12:01:30,Revolut
177,Сухроб Хашимов,Excellent,5,2024-03-24 11:33:37,Revolut
178,carl Ward,Scam,1,2024-03-24 10:30:12,Revolut
179,Athanasios Ouroumidis,"Simple, effective, intuitive. You have access to many features in higher subscriptions and even in the basics you can find some of the best currency conversions. One of the best options for abroad use.",5,2024-03-24 10:06:49,Revolut
180,Peter Caron,Great app and service. Only letdown is the appalling customer service: If you have an issue then you just get passed between bots.,4,2024-03-24 10:00:20,Revolut
181,Dávid Németh,"App is nice, fx excahnge is really good. Trading keeps improving but still has outages on high volume periods.",5,2024-03-24 09:37:29,Revolut
182,Katie x,Wish I could give zero stars. Worst experience I have ever had. Had my savings stolen from fraud/hacking/scam and everyone I spoke to was useless and they won't let me schedule a phone call and are very rude and inconsiderate. DON'T USE THIS BANK!,1,2024-03-24 09:05:25,Revolut
183,Colin Mc Parland,Quick and easy to use brilliant,5,2024-03-24 08:32:47,Revolut
184,Raymond McCarthy,"Great, very handy for sharing costs of meals. :thumbs_up:",5,2024-03-24 08:08:54,Revolut
185,Guyot Pascal,Revolut made significant efforts to improve the service which was a bit degraded at times in the past. They launched many new features which make them unique.,5,2024-03-24 07:50:34,Revolut
186,Tossavi-Viho S. Richard,Beyond Excellent,5,2024-03-24 07:40:05,Revolut
187,Giovanni Battista Minozzi,Good app,5,2024-03-24 07:38:22,Revolut
188,James Phillips,A great way to bank and transfer. Much better than my main banking system. We'll done Revolut...,4,2024-03-24 07:09:09,Revolut
189,Georgia Wilson,Easy to use and very secure,5,2024-03-24 06:59:57,Revolut
190,Badreddine Dil,Good service,5,2024-03-24 06:48:32,Revolut
191,Denin Andrews,Excellent,5,2024-03-24 06:45:21,Revolut
192,Pat Fox,Easy to use,2,2024-03-24 06:18:32,Revolut
193,Daniel Lawrence,"Also starting to get regular messages that the revolut app has crashed. Must be some background service that is failing as from what I can tell, it doesn't appear to affect the functionality of the app.",1,2024-03-24 05:59:25,Revolut
194,Caroline,:thumbs_up:,1,2024-03-24 05:53:39,Revolut
195,Ilia Palchin,It doesn't accept my ID card and doesn't receive my report on this issue. I'm completely stuck,1,2024-03-24 05:48:40,Revolut
196,Dos Ríos,Powerful,5,2024-03-24 05:27:23,Revolut
197,Regina Connolly,Really good to del with and so convenient,5,2024-03-24 05:24:17,Revolut
198,yy gg,Excellent,5,2024-03-24 05:20:22,Revolut
199,Kevin Murphy,"Cleaned my data & cache, then resigned in - and the app works again. Still, it's a very poorly design flow.",3,2024-03-24 05:11:10,Revolut
200,Luke More,Very good,5,2024-03-24 05:08:06,Revolut
201,Morgan Odwyer,Sick,5,2024-03-24 05:02:47,Revolut
202,arlene briody,"Brilliant for keeping track of spending and saving the loose change in the Vaults! So easy to use, would recommend highly!!!:smiling_face_with_smiling_eyes:",5,2024-03-24 04:55:03,Revolut
203,Ajibua Emmanuel,Revolut is a nice online bank ..... I love their services and is superb.,5,2024-03-24 04:33:52,Revolut
204,rajendra karki,Happy,5,2024-03-24 04:00:25,Revolut
205,Mercy Haastrup,It's very good,5,2024-03-24 03:52:28,Revolut
206,William Slattery,Generally good. Convenient and informative. Would like to see a savings account introduction with an ECB interest rate not an Irish banking monopoly interest rate,4,2024-03-24 03:29:57,Revolut
207,John Mills,Simple and easy to operate!,5,2024-03-24 03:24:00,Revolut
208,Chris Race,Everything is good about it,4,2024-03-24 02:51:41,Revolut
209,Traceur Bullet,"Pure garbage. I tried many times to sign-up.. using my phone number.. but I have never received the SMS with the code. I tried even by website. When I put the number it says: ""success"" but then it loads again the page.. and finish there.. nothing happens..",1,2024-03-24 02:44:02,Revolut
210,carrickanaire,Easy to use. In so many way's,5,2024-03-24 02:26:26,Revolut
211,A Google user,Excellent and easy card for travel,5,2024-03-24 02:16:10,Revolut
212,Polly Sanders,Perfect finance tool!,5,2024-03-24 02:15:20,Revolut
213,GEEK,Best secure banking :red_heart:,5,2024-03-24 02:13:24,Revolut
214,mary whelan,Good good,5,2024-03-24 02:04:23,Revolut
215,Pencho Bogdanov,"Im unable to use the app, and im forced to change my passcode out of the blue",1,2024-03-24 01:47:32,Revolut
216,Sarah Brown,brilliant service,5,2024-03-24 01:42:43,Revolut
217,George Dellhs,Convenient app.,5,2024-03-24 01:23:42,Revolut
218,Alex Leishman,"Just try getting to speak to someone, or sending them a message. Waste of time!",1,2024-03-24 01:22:29,Revolut
219,lupascu alexandru,"After update asks me to set a new pass code and I never use that function, only biometrical login.. And now since the app goes to the change password screen I can't use.. Not even for contact support.. Fix this or at least give the option to contact support or any way to recover it..",5,2024-03-24 01:16:58,Revolut
220,Natalia Los,Today application referred to an updated security rules and start to force to change passcode from 4 to 6 digits without allowing to skip this step and use any other functionality. I tried 4 different combinations all with the same result operation forbidden.,1,2024-03-24 01:09:02,Revolut
221,Carmel O Mahony,Excellent thanks,5,2024-03-24 01:01:06,Revolut
222,Rimaldi Sal,"Far exceeded my expectations. Probably the most useful app on my phone. Simple, practical, and works perfectly. Extremely useful for all travellers, both work and holiday. Thank you Revolut.",5,2024-03-24 01:01:01,Revolut
223,Dominic,Pretty Good Tbh easy to use and navigate. I think preminum should be 4.99 not 7.99 maybe add a few more subscriptions but overall its not bad.,4,2024-03-24 00:54:16,Revolut
224,Sybil Vain,AI support is better then physical people...,4,2024-03-24 00:48:04,Revolut
225,Nice Danger,"Ordered card did not arrived, sending money to my main bank was taking multiple weeks and without help of other revolute user, i would not get my salary and died of starvation. (After some time) I reordered and did not used the card for over year as I learned how to only use online money and had different bank. My card got deleted",1,2024-03-24 00:38:44,Revolut
226,Beyers Nel,"Long back and forth with tech support about not being able to receive payments from anyone, leading nowhere as I was constantly handed over from one tech support to the next, each one losing context of my issue. I emailed Revolut directly but got an automated response to use the in-app chat, which as detailed above was no longer an option.",1,2024-03-24 00:31:03,Revolut
227,Sheny Melamed,Just started and so far is ok.,5,2024-03-24 00:07:09,Revolut
228,N S,"I changed the device, and I wasn't aware that I had to keep the old one. I locked out of the app, and there is no customer service assistance",2,2024-03-23 23:50:20,Revolut
229,A.H AL GH,very bad apps and service. I advise you not to subscribe. I signed up 7 month ago and my account still not verified. They got my money and I can't withdraw my money back. Rubbish,1,2024-03-23 23:47:12,Revolut
230,Huda Ibrahim,The best banking app ever.,5,2024-03-23 23:46:58,Revolut
231,Robert Murray,Easy to use and ridiculously easy to setup.,5,2024-03-23 23:41:55,Revolut
232,Ekhosuehi Success,Doesn't work on some machines especially in Tescos,3,2024-03-23 23:41:50,Revolut
233,Ma. Cristina Estardo,It's safe to use. And I can make a dispute with less hastle if there's a mistake in sending.,5,2024-03-23 23:40:33,Revolut
234,Cristian Gavris,The app runs properly again,5,2024-03-23 23:32:14,Revolut
235,Pamela Harding,"Fast, user friendly",5,2024-03-23 23:10:02,Revolut
236,Charles Wootton,Been using Revolut since 2017 and wouldn't travel abroad without it. I upgraded recently to the Black metal card amd get free FT subscription plus can take £800 a month in cash in foreign currency free of charge..,5,2024-03-23 23:07:20,Revolut
237,Richard Lipscombe,Great everything i want,5,2024-03-23 22:45:17,Revolut
238,Thomas Cummins,Very good. Really like it.,4,2024-03-23 22:44:02,Revolut
239,Declan McClogan,Excellent account,5,2024-03-23 22:43:46,Revolut
240,Patrick Ferreira,"Very good app, only thing is missing is to dpare change for joint accounts.",4,2024-03-23 22:39:54,Revolut
241,Wayne Doyle,Nice,5,2024-03-23 22:38:57,Revolut
242,Alaa El Bezem,"This app is not working on the Samsung s series, I tried for 2 days and it keeps crashing, it has a bug, and should be fixed. I can't even complete the profile setup, it won't continue the process! Its very bad app",1,2024-03-23 22:18:58,Revolut
243,Γιάννης Λ,Everything works quite good. I had a problem with recognizing my face from the front camera in order to change password. I had to take a picture only of the top part of my face to let me take the picture.,4,2024-03-23 22:13:40,Revolut
244,Carpentry Design,Awesome works well for me,5,2024-03-23 22:08:28,Revolut
245,Ray,Nice app ...works well easy to use nice design .. no issues,5,2024-03-23 22:07:24,Revolut
246,Mark Aston Delamont,"EXCELLENT customer service, so easy to use... win win.",5,2024-03-23 22:06:02,Revolut
247,hussain hussainfirouzian@yahoo.co.uk,Good investment,4,2024-03-23 22:05:10,Revolut
248,Morgan Doogue,Changed bank here full time. No issues.,5,2024-03-23 21:57:33,Revolut
249,Bentley Cont,Amazing app,5,2024-03-23 21:57:10,Revolut
250,Ian Dunmore,The app is very quick to respond and I can't think of anything that could be improved upon.,5,2024-03-23 21:44:51,Revolut
251,Mandi,"Works well for me, no issues",5,2024-03-23 21:43:20,Revolut
252,Clement Olowoyo,So far it's working well and I hope it continues,4,2024-03-23 21:12:50,Revolut
